id,kosten,land,leiding,samen,zelf
118550,1,2,3,3,5
118553,2,1,3,3,3
118556,2,2,1,2,2
118561,2,2,4,4,1
118566,2,2,4,4,1
118571,1,1,3,4,5
118576,4,2,1,3,5
118580,1,3,4,5,2
118585,1,1,3,3,3
118586,2,2,4,4,1
118590,3,2,5,3,1
118600,3,5,1,3,2
118604,1,2,3,3,5
118610,1,1,3,3,3
118620,1,2,3,3,5
118623,3,2,4,4,1
118630,1,3,5,2,3
118634,1,2,5,3,4
118639,3,3,1,3,2
118643,1,1,3,3,3
118651,1,5,2,2,2
118662,1,2,3,3,5
118663,1,2,3,4,5
118678,4,1,3,2,5
118681,1,2,5,4,3
118691,1,1,3,3,3
118694,2,5,2,2,1
118697,2,2,4,4,1
118700,1,2,4,4,3
118701,1,4,1,1,4
118702,2,2,1,2,2
118704,4,3,1,5,2
118707,2,4,1,5,3
118733,2,3,4,1,5
118740,1,1,5,4,3
118743,3,1,5,4,2
118747,3,2,1,4,4
118748,3,1,3,3,2
118764,1,4,1,1,4
118767,1,1,3,3,5
118775,2,1,3,3,3
118785,1,2,4,4,2
118800,4,1,2,5,2
118803,1,2,4,3,5
118806,2,2,4,1,4
118811,1,4,2,3,5
118814,2,4,1,3,5
118816,1,2,3,3,5
118830,1,2,3,5,4
118831,2,1,3,3,3
118832,3,5,1,3,2
118840,1,2,4,3,5
118842,1,4,1,1,5
118851,1,2,4,4,3
118867,1,3,3,2,3
118868,4,3,1,5,2
118872,3,3,1,1,3
118879,1,5,3,3,1
118882,3,2,1,4,5
118886,1,2,3,3,3
118887,5,2,1,4,3
118889,2,2,1,4,5
118901,5,2,1,3,3
118905,2,2,2,2,1
118912,1,2,4,3,5
118914,2,1,2,4,4
118920,3,2,4,1,4
118927,2,5,1,3,4
118936,3,1,4,2,4
118945,1,1,4,4,3
118946,3,2,1,4,5
118947,1,1,3,5,4
118955,2,2,1,4,5
118965,1,3,4,4,2
118968,4,2,1,4,2
118975,1,2,3,3,5
118977,4,4,2,1,2
118985,4,3,2,5,1
118994,1,5,2,2,2
119005,2,4,1,3,4
119006,2,1,4,3,4
119011,1,2,4,4,3
119013,3,4,5,1,2
119048,2,2,4,4,1
119050,4,1,2,5,2
119052,1,4,2,3,5
119055,1,2,5,4,3
119063,2,1,3,5,3
119066,1,2,3,3,5
119077,1,3,4,2,5
119090,2,1,4,2,4
119097,1,3,1,3,3
119099,2,1,3,3,3
119119,2,3,1,4,5
119120,4,3,1,1,4
119141,1,1,3,3,3
119145,1,1,4,3,4
119147,3,5,1,3,1
119150,1,2,3,3,3
119153,2,1,3,3,5
119154,2,2,1,5,4
119158,1,5,3,2,4
119169,4,2,1,5,3
119188,1,2,4,3,5
119195,2,3,1,3,3
119202,1,4,3,2,5
119205,2,1,3,5,4
119211,1,1,4,3,4
119213,1,2,4,3,5
119216,1,1,5,3,3
119218,2,1,4,3,5
119231,2,4,1,5,3
119232,1,2,4,3,5
119245,1,5,3,3,2
119256,3,5,3,1,2
119281,1,2,2,4,4
119304,1,1,3,3,5
119308,2,1,2,2,2
119310,2,1,3,3,5
119314,1,2,2,2,2
119316,3,1,1,3,5
119319,1,2,4,4,3
119324,2,1,3,3,3
119329,1,3,4,4,2
119330,1,2,3,3,5
119331,1,3,5,1,3
119332,1,2,3,3,5
119339,2,2,2,2,1
119340,4,1,1,4,1
119341,3,4,1,5,2
119342,1,5,2,3,3
119347,1,3,2,4,5
119352,1,5,3,3,2
119354,1,3,2,4,5
119358,1,1,3,3,3
119367,1,3,2,4,5
119369,1,3,4,5,1
119376,1,2,3,3,3
119388,2,1,2,2,2
119389,1,1,3,5,3
119394,1,1,5,4,3
119406,3,3,2,5,1
119408,5,1,2,2,4
119409,2,1,3,3,3
119411,1,2,5,4,3
119430,4,5,1,3,2
119431,1,5,2,2,4
119432,3,4,1,5,2
119436,3,4,1,4,2
119441,2,3,4,4,1
119442,1,5,1,1,1
119448,2,2,2,1,2
119464,3,1,2,3,5
119468,1,2,3,4,4
119489,1,2,3,3,5
119495,3,3,1,2,3
119514,2,2,1,2,2
119521,4,2,1,2,5
119542,1,5,2,2,2
119567,1,3,5,2,4
119569,3,1,3,2,3
119570,1,3,2,4,5
119571,1,2,2,5,2
119573,1,3,2,4,5
119574,2,1,4,5,3
119575,1,2,3,4,5
119579,2,3,4,1,4
119580,2,4,3,1,5
119582,2,3,1,4,5
119583,2,2,1,4,4
119584,3,1,1,3,3
119587,3,1,1,3,3
119588,1,4,2,3,5
119591,3,4,1,5,2
119599,3,2,1,5,4
119608,2,3,4,1,4
119613,1,5,2,2,2
119618,2,1,4,4,3
119622,2,1,3,3,3
119628,1,1,4,3,4
119632,1,1,1,1,1
119639,2,2,4,1,4
119647,1,5,2,2,2
119649,1,3,2,4,5
119654,2,2,2,2,1
119655,1,5,2,2,2
119662,1,2,3,5,3
119672,1,3,2,4,5
119694,1,2,4,3,5
119697,2,2,1,4,4
119718,4,3,1,2,5
119723,1,2,4,3,4
119731,1,4,3,2,5
119732,2,3,3,3,1
119741,1,4,4,2,2
119744,3,2,1,3,3
119746,1,5,2,4,3
119747,1,2,3,5,4
119750,2,1,4,3,5
119766,1,2,2,2,2
119767,2,2,1,2,2
119768,3,1,2,3,3
119772,3,3,1,2,5
119773,1,5,3,2,4
119774,2,2,2,1,2
119783,3,3,1,1,3
119788,1,4,2,3,4
119793,3,1,2,5,4
119795,1,2,3,5,4
119800,1,1,3,3,3
119801,3,3,3,2,1
119807,5,1,1,1,1
119813,3,4,2,4,1
119829,1,2,4,4,3
119854,1,2,4,5,3
119856,2,3,1,4,4
119858,1,1,5,3,4
119872,2,2,1,4,4
119882,4,1,3,5,2
119889,1,4,2,2,4
119891,2,2,1,4,4
119893,2,2,1,2,2
119905,2,1,2,2,2
119910,1,3,3,1,3
119916,1,3,4,4,2
119929,5,2,4,1,2
119933,2,1,2,2,2
119955,3,1,4,2,5
119967,1,5,1,1,1
119972,1,2,2,5,2
119977,1,2,3,4,4
119981,1,4,2,5,2
119982,2,1,3,3,5
119983,2,2,1,4,4
119984,2,1,2,2,2
119989,1,2,4,3,5
119990,1,2,4,3,5
119993,1,1,3,3,3
119998,1,1,3,3,3
120000,2,4,1,5,3
120002,1,2,4,2,4
120007,3,1,4,4,2
120008,3,2,1,3,3
120013,3,1,2,3,3
120019,2,1,4,3,4
120026,1,4,2,5,2
120027,3,1,3,2,3
120032,3,1,4,4,2
120033,4,1,2,5,3
120037,1,2,2,2,5
120039,3,4,1,1,5
120040,3,3,5,2,1
120047,2,5,3,3,1
120048,3,3,3,1,1
